time_us,engine_rpm,wheel_rpm,secondary_rpm,sheave_position,sheave_setpoint,pwm,brake_position
101507849, 2469.067627, 2849.430176, 363.636353, 3.000000, -9.541710, -60.801090, 0.000000
101729783, 2544.945068, 212.761932, 357.142853, 5.000000, -6.147194, -30.784855, 0.000000
101941395, 2627.532471, 74.814461, 363.636353, -8.000000, -2.452496, 94.708565, 0.000000
102152741, 2779.558838, 142.204361, 363.662811, 0.000000, 4.348682, 80.334572, 0.000000
102363815, 2817.248047, 71.092743, 545.494202, 24.000000, 6.034782, -110.746986, 0.000000
102574957, 2739.799805, 74.995499, 357.149231, 15.000000, 2.569992, -52.419434, 0.000000
102786834, 2671.828857, 497.564331, 360.237030, -3.000000, -0.470814, 61.951267, 0.000000
102997924, 2572.094238, 970.149231, 363.642975, 2.000000, -4.932625, -21.336681, 0.000000
103218879, 2501.360352, 3899.785400, 363.636353, -1.000000, -8.097038, -15.208022, 0.000000
103430841, 2501.934814, 71.444565, 363.636353, -10.000000, -8.071337, 54.192417, 0.000000
103642549, 2626.645020, 2462.686523, 363.662811, -4.000000, -2.492195, 48.903683, 0.000000
103863811, 2814.721191, 1724.930908, 535.742981, 10.000000, 5.921738, -2.777044, 0.000000
104074880, 2934.337158, 4552.419922, 363.649597, 14.000000, 11.272976, 17.482935, 0.000000
104286836, 3006.805420, 2642.404297, 360.282471, 15.000000, 14.514980, 27.482317, 0.000000
104507838, 3038.038818, 2727.794922, 545.454529, 22.000000, 15.912262, -14.944033, 0.000000
104719913, 3239.569336, 74.628349, 526.315796, 18.000000, 24.928101, 92.846672, 0.000000
104941375, 3541.221924, 2642.353760, 727.272705, 26.000000, 40.884853, 158.861511, 0.000000
105152815, 3827.493164, 2175.000000, 727.325623, 49.000000, 69.442101, 203.185944, 0.000000
105374879, 3900.169434, 150.000000, 892.920898, 97.000000, 104.925972, 106.537857, 0.000000
105586790, 3783.455078, 3374.864990, 877.208374, 147.000000, 139.242737, -17.386538, 0.000000
105818123, 3632.073730, 2985.193359, 1090.909058, 146.000000, 167.454514, 239.170547, 0.000000
106029567, 3566.947266, 3571.428711, 925.857361, 138.000000, 190.750183, 503.141754, 0.000000
106260862, 3668.805420, 3714.993408, 1090.909058, 130.000000, 214.922180, 789.835266, 0.000000
106482823, 3897.702881, 6998.433594, 1071.428589, 120.000000, 246.132477, 1130.422119, 0.000000
106704808, 4177.126953, 1848.753052, 1272.727295, 113.000000, 287.893097, 1526.276123, 0.000000
106927786, 4453.656738, 9600.000000, 1272.819824, 104.000000, 300.000000, 1674.000000, 0.000000
107149920, 4746.466309, 1343.230103, 1250.089233, 93.000000, 300.000000, 1760.000000, 0.000000
107371879, 5001.332031, 2345.615723, 1250.000000, 83.000000, 300.000000, 1840.000000, 0.000000
107593933, 5223.647949, 1071.224487, 1261.602295, 73.000000, 300.000000, 1920.000000, 0.000000
107816449, 5313.977539, 1874.924927, 1272.634644, 70.000000, 300.000000, 1940.000000, 0.000000
108038770, 5337.533203, 4053.054688, 1260.080688, 91.000000, 300.000000, 1756.000000, 0.000000
108260843, 5248.818848, 3450.000000, 1428.571411, 133.000000, 300.000000, 1412.000000, 0.000000
108482804, 5085.976074, 7274.708984, 1607.142822, 188.000000, 300.000000, 966.000000, 0.000000
108704764, 4756.666016, 425.441376, 1636.363647, 253.000000, 300.000000, 442.000000, 0.000000
108927787, 4199.726562, 1489.678589, 1818.314087, 320.000000, 300.000000, -95.379997, 0.000000
109149903, 3477.866455, 4834.214844, 1785.841797, 321.000000, 300.000000, -68.660004, 0.000000
109371960, 2975.145020, 7124.857422, 1785.714233, 294.000000, 299.935425, 142.212662, 0.000000
109593913, 2909.109375, 3553.963379, 1982.196289, 281.000000, 296.019318, 213.575119, 0.000000
109816467, 3140.541992, 6450.000000, 1818.049561, 270.000000, 297.003754, 322.038727, 0.000000
110038824, 3392.492920, 6899.758301, 1981.267944, 261.000000, 300.000000, 416.000000, 0.000000
110269968, 3636.942871, 3894.904785, 2000.036377, 252.000000, 300.000000, 488.000000, 0.000000
110491420, 3860.986328, 4998.857422, 1999.854492, 245.000000, 300.000000, 544.000000, 0.000000
110713857, 4071.594727, 7110.622559, 1981.303711, 237.000000, 300.000000, 608.000000, 0.000000
110935787, 4278.246582, 3975.000000, 1964.285645, 232.000000, 300.000000, 646.000000, 0.000000
111157835, 4389.979004, 4649.813965, 2142.857178, 225.000000, 300.000000, 702.000000, 0.000000
111379813, 4529.524902, 7941.797852, 2000.000000, 218.000000, 300.000000, 758.000000, 0.000000
111602822, 4691.701660, 6299.968262, 2181.976807, 211.000000, 300.000000, 814.000000, 0.000000
111824898, 4837.745117, 5760.598633, 2143.010254, 205.000000, 300.000000, 864.000000, 0.000000
112056698, 5019.074707, 6755.091309, 2121.212158, 196.000000, 300.000000, 936.000000, 0.000000
112270934, 5150.469727, 1857.133911, 2142.704102, 187.000000, 300.000000, 1008.000000, 0.000000
112503645, 5187.236328, 3537.266602, 1999.854492, 180.000000, 300.000000, 1062.000000, 0.373913
112727786, 4887.332031, 2980.428467, 1818.314087, 202.000000, 300.000000, 864.000000, 0.417391
112951509, 4319.321289, 1556.721313, 1834.217407, 244.000000, 300.000000, 522.000000, 0.428094
113172932, 3699.484375, 1990.238281, 1851.989014, 305.000000, -35.000000, 168.000000, 0.499666
